,Round_0,Round_1,Round_2_512,Round_2_515,Round_2_513,Round_2_514,Round_2_516,Round_2_517
client_0,0.51350667425824,0.7393559815271715,0.3849560321376605,0.3849560321376605,0.3849560321376605,0.3849560321376605,0.38495603213766055,0.3849560321376605
client_1,0.514518884038717,0.737837666856456,0.3850825583602201,0.3850825583602201,0.3850825583602201,0.3850825583602201,0.38508255836022015,0.3850825583602201
client_2,0.5078129942430569,0.7406845068640475,0.3866641361422154,0.3866641361422154,0.3866641361422154,0.3866641361422154,0.38666413614221545,0.3866641361422154
client_3,0.5146454102612766,0.7401151388625292,0.3821724552413488,0.3821724552413488,0.3821724552413488,0.3821724552413488,0.3821724552413488,0.3821724552413488
client_4,0.5167963560447902,0.7375846144113367,0.3798317201239957,0.3798317201239957,0.3798317201239957,0.3798317201239957,0.3798317201239957,0.3798317201239957
client_5,0.5114189915860062,0.7370152464098184,0.3830581387992661,0.3830581387992661,0.3830581387992661,0.3830581387992661,0.38305813879926615,0.3830581387992661
client_6,0.514835199595116,0.7365724046308597,0.3781236161194407,0.3781236161194407,0.3781236161194407,0.3781236161194407,0.37812361611944073,0.3781236161194407
client_7,0.512810780034162,0.7459986082115518,0.3835642436895046,0.3835642436895046,0.3835642436895046,0.3835642436895046,0.38356424368950465,0.3835642436895046
client_8,0.5207819320554185,0.7332827228443095,0.389510976149807,0.389510976149807,0.389510976149807,0.389510976149807,0.38951097614980706,0.389510976149807
client_9,0.5052824697918644,0.7267666223824888,0.3879926614790915,0.3879926614790915,0.3879926614790915,0.3879926614790915,0.38799266147909156,0.3879926614790915
