,Round_0,Round_1,Round_2_512,Round_2_515,Round_2_513,Round_2_514,Round_2_516,Round_2_517
client_0,0.4054439998378718,0.8810459449279898,0.8599642693103607,0.8242226696590965,0.8033030261425353,0.8328277773710332,0.8465991041614567,0.8436619158717923
client_1,0.4048478271437379,0.8784712959275142,0.8577819298212052,0.8218853561751159,0.8055053333585847,0.8332268885524828,0.8470854750869223,0.8441942098845936
client_2,0.403068379758162,0.8838526015827687,0.8630337264687976,0.8254254359403338,0.8074410657091442,0.8374253683663394,0.8502566690888688,0.8467521488370067
client_3,0.4109984150412775,0.8778311669667173,0.8569210959095502,0.8214477264847052,0.8029085642888868,0.8335548755906744,0.8431758089666492,0.837275795315367
client_4,0.4130066834712662,0.8797726917147067,0.8582249020599817,0.8182847368328097,0.8028566376870183,0.8365299046770259,0.8465168151293068,0.8470712922299867
client_5,0.411064215482353,0.8797268314319483,0.8569916818632893,0.8160272323178169,0.8007656704819517,0.8325195908453917,0.847178375919862,0.8413670572673322
client_6,0.4041371553891358,0.879651566290589,0.8591617905768857,0.8222244150574964,0.8041714397820283,0.8356626168344397,0.8493653341509758,0.8436576565011153
client_7,0.4042764288000254,0.8811965887133771,0.8595421629517195,0.822527614484012,0.8071136345512595,0.8326144066383373,0.8473547226940736,0.8454849221711811
client_8,0.3940349741971282,0.8740982625959389,0.8514160709073824,0.8089391555773653,0.794093668113167,0.8278502471238378,0.8421243268641734,0.8366981625276231
client_9,0.4133424215244913,0.8729094545260088,0.8539321570185824,0.8193179405664639,0.7946866423283103,0.829013235061963,0.8391482626659627,0.837847315506624
