,Round_0,Round_1,Round_2_512,Round_2_515,Round_2_513,Round_2_514,Round_2_516,Round_2_517
client_0,0.4722591257038021,0.7787688998544948,0.5250838236224458,0.48649332574175996,0.4864933257417599,0.5108496235844879,0.7054469538811918,0.6068197633959638
client_1,0.4810526981716961,0.7764914278484216,0.5252103498450054,0.48548111596128296,0.4854811159612829,0.5083823622445752,0.7006389574239261,0.605744290504207
client_2,0.4708673372556462,0.7814892136395268,0.5202125640539002,0.49218700575694313,0.4921870057569431,0.5134434111469602,0.70607958499399,0.6066299740621244
client_3,0.478711963054343,0.7751629025115455,0.5275510849623585,0.48535458973872336,0.4853545897387233,0.5109761498070475,0.7063326374391092,0.6133991269690643
client_4,0.4665021825773391,0.7755424811792244,0.5266021382931613,0.4832036439552097,0.4832036439552097,0.5090149933573733,0.7051306383247928,0.6089074460681977
client_5,0.4761814386031505,0.775669007401784,0.5214778262794965,0.4885810084139938,0.4885810084139938,0.5114189915860062,0.6999430631998481,0.6037831340545328
client_6,0.4725121781489214,0.7790852154108939,0.5259695071803632,0.4851648004048839,0.4851648004048839,0.5109761498070475,0.7035490605427975,0.6076421838426014
client_7,0.4662491301322199,0.7806035300816094,0.5241981400645284,0.4871892199658379,0.4871892199658379,0.5099006769152907,0.7021572720946416,0.6125767065224268
client_8,0.4731448092617195,0.7785791105206554,0.5340039223128994,0.4792180679445815,0.4792180679445815,0.5038906813437085,0.700006326311128,0.6128930220788258
client_9,0.4666287087998987,0.7642183842601379,0.51692288226735,0.49471753020813564,0.4947175302081356,0.5171759347124691,0.6900740178401974,0.6014423989371798
