,Round_0,Round_1,Round_2_512,Round_2_515,Round_2_513,Round_2_514,Round_2_516,Round_2_517
client_0,0.556734513270083,0.8428049512549957,0.3325791300282779,0.3325791300282779,0.3325791300282779,0.3325791300282779,0.33257913002827794,0.3325791300282779
client_1,0.5547235526417869,0.8404408917667674,0.3329316198471457,0.3329316198471457,0.3329316198471457,0.3329316198471457,0.3329316198471457,0.3329316198471457
client_2,0.5607553619644241,0.8459637668882944,0.3320062222518281,0.3320062222518281,0.3320062222518281,0.3320062222518281,0.3320062222518281,0.3320062222518281
client_3,0.5650504344376345,0.8410395435344517,0.3338214200794338,0.3338214200794338,0.3338214200794338,0.3338214200794338,0.3338214200794338,0.3338214200794338
client_4,0.5521306159027106,0.8413652177740005,0.3266065571915567,0.3266065571915567,0.3266065571915567,0.3266065571915567,0.3266065571915567,0.3266065571915567
client_5,0.5571151763789545,0.8392054107130855,0.3314808328426185,0.3314808328426185,0.3314808328426185,0.3314808328426185,0.33148083284261853,0.3314808328426185
client_6,0.5664298927988226,0.8409890114010308,0.3268481534192373,0.3268481534192373,0.3268481534192373,0.3268481534192373,0.3268481534192373,0.3268481534192373
client_7,0.5622251931803615,0.8433797005288294,0.3309239913696437,0.3309239913696437,0.3309239913696437,0.3309239913696437,0.33092399136964373,0.3309239913696437
client_8,0.5531460339911541,0.8300714430043586,0.3348148575790524,0.3348148575790524,0.3348148575790524,0.3348148575790524,0.3348148575790524,0.3348148575790524
client_9,0.5513821372774237,0.83813887785042,0.3376424109254264,0.3376424109254264,0.3376424109254264,0.3376424109254264,0.33764241092542646,0.3376424109254264
